ticker,name,sector,sector_etf,market_cap,date,close,daily_return,return_5d,return_20d,rs_spy_20d,rs_spy_50d,rs_spy_near_high,rs_qqq_20d,rs_qqq_50d,rs_sector_20d,rs_sector_50d,close_to_50d_high,volume_ratio,volume_trend,updown_vol_ratio_20d,capped_volume_ratio,avg_dollar_volume_20d,close_position,ma20,ma60,ma120,above_ma20,above_ma60,ma60_rising,ma120_rising,ma_aligned,golden_cross_recent,vp_signal,accumulation_days_10d,distribution_days_10d,volume_strength,surge_today,sustained_accumulation,signal_type,triggered_today,days_since_trigger,warnings,atr_ratio,rsi_14,liquidity_ok,rs_positive,rs_sector_positive,near_50d_high,volume_quality,not_overheated,passed_hard_filters,grade,market_state,trigger_price,ext_from_trigger,base_stability,sector_etf_to_52w_high,mom_12_1,mom_6_1,score_3m,score,next_earnings_date,earnings_within_20d,verdict,verdict_reason,regime_trend,regime_breadth,regime_vix_ratio
AEM,Agnico Eagle Mines Limited,Materials,XLB,73559629824.0,2026-08-24,217.88999938964844,0.00846987805115762,0.15420066107948305,0.4928061754394768,0.44513628385339254,0.3312087526451324,True,0.4416594893853407,0.40072771669891494,0.43178995563666334,0.31539574069298704,1.0,1.027326136685774,1.2883535451201764,5.0,1.027326136685774,632127532.7483284,0.6537354400380593,176.90199966430663,163.21766662597656,180.86261393229168,True,True,True,False,False,False,accumulation,5,1,normal,False,False,surge,False,1.0,,0.0398595710797931,82.23059347955635,True,True,True,True,True,True,True,A,Confirmed Uptrend,216.06,0.0085,0.28085612203356175,1.0,-0.08600420684065224,-0.44328422271009404,0.24147727984600753,1.0747071352502662,2026-10-29,False,진입 검토,국면 정합 A등급 · surge D+1 · 클러스터 대표(12종목 중),1,0.608,0.854
WPM,Wheaton Precious Metals Corp,Materials,XLB,49513259008.0,2026-08-24,160.19000244140625,0.015274456082868149,0.17416123487324886,0.43203430701879064,0.3863050480659047,0.3722910322558042,True,0.3829697932695224,0.4439554130324157,0.3735020464481882,0.3559900167676133,1.0,1.180210726023946,1.4622559060818865,3.237606289353826,1.180210726023946,312554166.489859,0.7190911786846728,130.09620170593263,119.93831799825033,127.45074113210042,True,True,True,False,False,False,accumulation,4,0,normal,False,False,surge,False,3.0,,0.037665468791264214,79.9525282926898,True,True,True,True,True,True,True,A,Confirmed Uptrend,147.23,0.088,0.279483673834089,1.0,0.008211365156907569,-0.34093900931766774,0.3257079724134789,1.0743343982960596,2026-11-06,False,진입 검토,국면 정합 A등급 · surge D+3 · 클러스터 대표(12종목 중),1,0.608,0.854
VEEV,Veeva Systems Inc.,Health Care,XLV,33102694400.0,2026-08-24,248.4600067138672,0.0022590271527664907,0.04246039494617415,0.2776920607611457,0.2368914243362905,0.4823654060411442,True,0.23391563768574275,0.5597781387717382,0.19504795979939704,0.35057882923326944,0.9834547471268221,0.8965010723262622,0.8325746896740676,4.5833300919800415,0.8965010723262622,399484064.89624023,0.8918171909886459,229.12449951171874,195.10400060017903,182.71391716003419,True,True,True,True,True,False,weak_rally,4,0,normal,False,False,acc,False,2.0,어닝스20일내,0.0348690807567279,69.92358526465043,True,True,True,True,True,True,True,A,Confirmed Uptrend,250.53,-0.0083,0.3858311633357196,0.9944216998611353,-0.43875350118668155,-0.006328074263662664,0.2636275933550882,1.0710330138445154,2026-08-27,True,대기,어닝스 2026-08-27 — 발표 후 재평가,1,0.608,0.854
BMNR,"BitMine Immersion Technologies,",Financials,XLF,10423751680.0,2026-08-24,24.139999389648438,0.05738061630837388,0.2888414297721955,0.3470981744906809,0.3040811874294653,0.40842248232910605,True,0.3009437516671749,0.48197373544926725,0.3160931638153037,0.31609480100347986,1.0,1.8616689941583535,1.616397396444601,1.922913860064699,1.8616689941583535,693295801.8378471,0.5321633447960086,18.841499996185302,16.86999996503194,18.93224996725718,True,True,True,False,False,False,accumulation,4,0,interest,True,False,surge,True,0.0,과열,0.04920405948995474,76.59180269439935,True,True,True,True,True,False,True,A,Confirmed Uptrend,24.14,0.0,0.37531595912908444,0.9993134723312326,-0.7184995992668328,-0.2453314005687367,0.045591339062491104,1.0518636847710332,,False,대기,단기 이벤트성(3M 0.05) — 재트리거 또는 중기 추세 형성 대기,1,0.608,0.854
KGC,Kinross Gold Corporation,Materials,XLB,27402162176.0,2026-08-24,32.97999954223633,0.006715544321579392,0.19134843953222247,0.38060946366839477,0.33652235809595243,0.2803733530055732,True,0.33330687344376075,0.3472375686488003,0.3241791166595236,0.2651641988484543,1.0,1.086598076862652,1.1403324229178813,2.0267664312140288,1.086598076862652,238315467.6210869,0.5784312625520314,26.851539134979248,25.642486476898192,28.20882574717204,True,True,True,False,False,True,accumulation,5,2,normal,False,False,surge,False,1.0,,0.03894524618557528,78.6603395368293,True,True,True,True,False,True,True,A,Confirmed Uptrend,32.76,0.0067,0.2920665015701162,1.0,0.04262807256710199,-0.38175838729095857,0.3466905856155997,1.0461128860489883,,False,스킵,상관 클러스터 중복 — 대표: AEM·WPM,1,0.608,0.854
AU,AngloGold Ashanti PLC,Materials,XLB,40115785728.0,2026-08-24,120.47000122070312,-0.006187097776335526,0.2171493461565499,0.5063128701809227,0.45821166829842874,0.40472077490767866,True,0.4547034162960153,0.4780787158484714,0.44474458443096054,0.3880345366607434,0.9938129022236645,1.4318773739914588,1.3475599833462337,1.6107129865199339,1.4318773739914588,299715163.48990786,0.6159534617447788,94.52573051452637,86.90995915730794,91.69628677368163,True,True,True,False,False,False,distribution,3,1,normal,False,False,surge,False,1.0,과열,0.04438098830382316,79.96659975586834,True,True,True,True,True,False,True,A,Confirmed Uptrend,121.22,-0.0062,0.2773850479464068,1.0,0.3043288138799849,-0.3781222590823138,0.5004855546633408,1.0421725239616615,,False,스킵,상관 클러스터 중복 — 대표: AEM·WPM,1,0.608,0.854
BR,"Broadridge Financial Solutions,",Industrials,XLI,17805594624.0,2026-08-24,185.4499969482422,0.017949305104432822,0.10492135959595483,0.21383687936887452,0.17507533524164032,0.24227295117800618,True,0.17224826939964344,0.30714747102046425,0.24231794746391988,0.2580594850429858,1.0,1.0044988013481797,0.9879530521564083,2.4509692967895043,1.0044988013481797,236362934.17655793,0.5943658581664539,168.15099868774413,153.17400970458985,156.74299736022948,True,True,True,False,False,False,accumulation,4,3,normal,False,False,acc,False,3.0,분산3일,0.0296614396541653,73.5555269966252,True,True,True,True,False,True,True,A,Confirmed Uptrend,176.03,0.0535,0.3157509658135812,0.9597340907832117,-0.5043220995304663,-0.21195919050643164,0.08380174608327211,1.035782747603834,2026-11-03,False,스킵,acc D+3 신호 소멸 — 재트리거 전까지 관망,1,0.608,0.854
FIVE,"Five Below, Inc.",Consumer Discretionary,XLY,12006280192.0,2026-08-24,262.7200012207031,0.04987210459392344,0.10127432892924704,0.2683209519881471,0.22781956388273228,0.25375309635108656,True,0.22486560285139578,0.31922713734154895,0.18834054139567735,0.2762527796173928,1.0,2.1494976799275,1.164015808488177,1.9269915987150976,2.1494976799275,221980636.32134095,0.934733585972302,232.74250030517578,207.5201665242513,215.99216639200847,True,True,True,True,False,False,accumulation,3,2,attention,True,False,surge,True,0.0,어닝스20일내,0.03566263181286584,75.01685009476269,True,True,True,True,False,True,True,A,Confirmed Uptrend,262.72,0.0,0.2802182848818213,0.9538536360667944,0.21912473595413995,-0.14884032473774933,0.5499351340884887,1.0282215122470713,2026-09-03,True,대기,어닝스 2026-09-03 — 발표 후 재평가,1,0.608,0.854
TGT,Target Corporation,Consumer Staples,XLP,65626075136.0,2026-08-24,169.88999938964844,0.02689795020897834,0.1250248696748204,0.21985183951599963,0.18089821921516314,0.24399826369034483,True,0.17805714433400954,0.30896288355527357,0.19069819781985964,0.2498200307184244,1.0,1.3284580779413382,1.4571399084370467,1.9221238029339374,1.3284580779413382,708814731.6804085,0.8291956335953742,151.65148010253907,138.1233258565267,129.50833746592204,True,True,True,True,True,False,accumulation,7,3,normal,False,True,acc,True,0.0,분산3일,0.029313693483278006,79.36512889923851,True,True,True,True,False,True,True,A,Confirmed Uptrend,169.89,0.0,0.389106020747845,0.9838065079008816,0.23783244089252742,0.11905363954207293,0.780425871190765,1.0210862619808307,2026-11-18,False,진입 검토,국면 정합 A등급 · acc D+0,1,0.608,0.854
TRI,Thomson Reuters Corp,Industrials,XLI,42837557248.0,2026-08-24,108.62000274658203,0.029280811172446963,0.10367251261793209,0.11834888912856001,0.08263657015688808,0.3131042905969508,True,0.08003189897113994,0.3816777955378483,0.14458945852191185,0.3297909336829987,1.0,0.6158207736787058,1.0373312522127083,2.3303994876367597,0.6158207736787058,241481889.30048484,0.7750068264360666,102.68584022521972,91.54970881144206,90.54995416005453,True,True,True,True,True,False,weak_rally,1,0,normal,False,False,surge,False,4.0,,0.04793629864900151,61.157682478208635,True,True,True,True,False,True,True,A,Confirmed Uptrend,100.24,0.0837,0.3067939647892378,0.9597340907832117,-0.5490880877915462,0.04781557013314952,0.2935693336294727,1.0182108626198083,2026-11-03,False,스킵,상관 클러스터 중복 — 대표: VEEV·BR,1,0.608,0.854
