ticker,name,sector,sector_etf,market_cap,date,close,daily_return,return_5d,return_20d,rs_spy_20d,rs_spy_50d,rs_spy_near_high,rs_qqq_20d,rs_qqq_50d,rs_sector_20d,rs_sector_50d,close_to_50d_high,volume_ratio,volume_trend,updown_vol_ratio_20d,capped_volume_ratio,avg_dollar_volume_20d,close_position,ma20,ma60,ma120,above_ma20,above_ma60,ma60_rising,ma120_rising,ma_aligned,golden_cross_recent,vp_signal,accumulation_days_10d,distribution_days_10d,volume_strength,surge_today,sustained_accumulation,signal_type,triggered_today,days_since_trigger,warnings,atr_ratio,rsi_14,liquidity_ok,rs_positive,rs_sector_positive,near_50d_high,volume_quality,not_overheated,passed_hard_filters,grade,market_state,trigger_price,ext_from_trigger,base_stability,sector_etf_to_52w_high,mom_12_1,mom_6_1,score_3m,score,next_earnings_date,earnings_within_20d,verdict,verdict_reason,top_pick_rank,regime_trend,regime_breadth,regime_vix_ratio
SWKS,"Skyworks Solutions, Inc.",Information Technology,XLK,10083181568.0,2026-09-17,91.31999969482422,0.06694711534176023,0.08675474260893878,0.33352796755635783,0.34482434868323475,0.5260785325670003,True,0.3319655645826938,0.5493582983827603,0.3021858892230853,0.5060004773387132,1.0,0.9925946011374678,1.3815449908037374,2.1134118797059442,0.9925946011374678,560813637.4981518,0.981468672169837,74.47449989318848,67.59400030771891,67.23499666849771,True,True,True,True,True,False,weak_rally,4,2,normal,False,False,surge,False,2.0,,0.061506634752999785,68.45960368879898,True,True,True,True,False,True,True,A,Uptrend Under Pressure,90.0,0.0147,0.18884300729649586,0.9499229291233883,-0.20219568927087095,0.08827775755273826,0.42774836471396044,0.9861228813559322,2026-11-04,False,진입 검토,surge D+2,1,0,0.384,0.832
DELL,Dell Technologies Inc.,Information Technology,XLK,294647398400.0,2026-09-17,588.4000244140625,0.044577477615800554,0.16142282200677505,0.34476069210284144,0.3561522261928787,0.33360981465576023,True,0.3431851285186307,0.35395354108415256,0.3131546096082787,0.31606399971882926,1.0,0.9350797208296411,1.1376260790155037,2.8701016953168033,0.9350797208296411,4963940608.594427,0.8040761655754745,497.0065032958984,452.9373499552409,362.3680205027262,True,True,True,True,True,False,weak_rally,5,1,normal,False,False,acc,False,1.0,,0.06253396625272283,66.43694420175368,True,True,True,True,True,True,True,A,Uptrend Under Pressure,563.29,0.0446,0.34023654183225466,0.9499229291233883,2.1617913341092123,1.7054612856712628,0.9948827292110874,0.9802436440677966,2026-11-28,False,진입 검토,acc D+1 · 클러스터 대표(9종목 중) · 동일 베팅 대기: HPE,2,0,0.384,0.832
AVTR,"Avantor, Inc.",Health Care,XLV,9834257408.0,2026-09-17,15.859999656677246,0.01601537511200779,0.06586018378355019,0.13610312416463843,0.14572710971442548,0.5883491002159902,True,0.13477203029726592,0.6125787806011167,0.18233867317543329,0.5623333740852967,1.0,1.3119702706090288,1.1712010108488236,2.207610790762235,1.3119702706090288,111830653.53625083,0.5421685916379798,14.825999927520751,12.870666631062825,10.655833315849303,True,True,True,True,True,False,accumulation,6,3,normal,False,True,acc,True,0.0,분산3일,0.02831921856086316,71.91123189518333,True,True,True,True,False,True,True,A,Uptrend Under Pressure,15.86,0.0,0.6838878162549763,0.9608948349066354,-0.10794262289488743,0.48412799321738653,0.5992474070326335,0.9793961864406779,,False,진입 검토,acc D+0,3,0,0.384,0.832
VLO,Valero Energy Corporation,Energy,XLE,103342923776.0,2026-09-17,412.5299987792969,0.0229369173477465,0.07031109830186932,0.1913879372282361,0.20148024315381474,0.4309387869901311,True,0.18999206994895879,0.4527672310360509,0.17475873583871993,0.26234530306770987,1.0,1.1656868719375755,1.3108479259931303,2.4910970273975175,1.1656868719375755,1042998898.3024765,0.9529588066862593,369.78100128173827,322.70849126180013,283.2976481119792,True,True,True,True,True,False,accumulation,8,2,normal,False,True,acc,True,0.0,,0.03327498303530986,79.917529604756,True,True,True,True,False,True,True,A,Uptrend Under Pressure,412.53,0.0,0.41800126661407916,0.9780070234865696,0.8694873687227276,0.269346260389554,0.9424180550034331,0.9760063559322035,2026-10-22,False,진입 검토,acc D+0,4,0,0.384,0.832
FRO,Frontline Plc,Energy,XLE,9746429952.0,2026-09-17,54.029998779296875,0.0067076695105956485,0.11632225363479942,0.21552301129193285,0.22581976661923497,0.3731510197831678,True,0.2140988666068535,0.3940979327290264,0.19855693641678274,0.21136610174078152,1.0,2.029499007632216,1.5536321652331089,4.718781295242662,2.029499007632216,153745395.55503845,0.4634137831576401,46.50949935913086,41.19566656748454,38.22750151952108,True,True,True,True,True,False,accumulation,7,1,attention,True,True,surge+acc,True,0.0,,0.031146730037516585,83.49863688726248,True,True,True,True,True,True,True,A,Uptrend Under Pressure,54.03,0.0,0.37367358836020387,0.9780070234865696,0.6836981114485066,0.21010801585119698,0.9164892848108127,0.9742055084745764,,False,진입 검토,surge+acc D+0,5,0,0.384,0.832
TEM,"Tempus AI, Inc.",Health Care,XLV,11376410624.0,2026-09-17,80.36000061035156,0.1484921996338937,0.36806262026053593,0.3120000099649234,0.3231140267021868,0.37153015431768344,True,0.3104628298180587,0.3924523415579835,0.3653939664400452,0.34906572702656447,1.0,2.0445856427954823,0.998298538185975,1.4564139451304874,2.0445856427954823,556311951.4621605,0.8938871553352095,65.93500080108643,56.93333346048991,53.12870826721191,True,True,True,True,True,False,accumulation,1,0,attention,True,False,surge,True,0.0,,0.0602307613789017,72.122971347269,True,True,True,True,False,True,True,A,Uptrend Under Pressure,80.36,0.0,0.33956139081962955,0.9608948349066354,-0.5176475780781482,-0.13090486611392937,0.1361226554876947,0.9644597457627119,2026-11-04,False,대기,단기 이벤트성(3M 0.14) — 신호 재발생 또는 중기 추세 형성 대기,0,0,0.384,0.832
ILMN,"Illumina, Inc.",Health Care,XLV,32258129920.0,2026-09-17,245.17999267578125,0.07098239863666023,0.21816459219566053,0.19599996427210375,0.20613133890604285,0.27602427455736933,True,0.19459869339804392,0.2954895547857421,0.24467311179616447,0.25512414746409573,1.0,1.70769237558446,1.3626578834232073,2.167161489175451,1.70769237558446,472159764.4859772,0.8852575823055527,217.5625,199.8318323771159,171.18899923960367,True,True,True,True,True,False,accumulation,6,2,interest,True,True,surge+acc,True,0.0,,0.04112430302523155,70.17060843765556,True,True,True,True,False,True,True,A,Uptrend Under Pressure,245.18,0.0,0.2752317379551904,0.9608948349066354,0.5781742791940376,0.3128969573561591,0.9229879657403057,0.9641419491525425,2026-10-30,False,진입 검토,surge+acc D+0,0,0,0.384,0.832
HPE,Hewlett Packard Enterprise Comp,Information Technology,XLK,69176393728.0,2026-09-17,61.040000915527344,0.07692308727728481,0.10539658757997605,0.14888009953681558,0.15861231947460497,0.33564552190131125,True,0.1475340357664474,0.35602030229379134,0.12187782365563948,0.31807292391119346,0.9830890765907531,0.9675526993733133,1.110877665687792,1.8246502421042714,0.9675526993733133,1411894706.3204079,0.7855753908204869,54.83950023651123,50.95100027720134,42.769286998112996,True,True,True,True,True,False,weak_rally,4,2,normal,False,False,surge,False,4.0,,0.06754352712539156,59.841154172574655,True,True,True,True,False,True,True,A,Uptrend Under Pressure,62.09,-0.0169,0.22405114234330423,0.9499229291233883,0.9793163545609718,1.2383357387623737,0.9791071880307903,0.9609110169491526,,False,진입 검토,surge D+4 · 클러스터 대표(9종목 중),0,0,0.384,0.832
RVTY,"Revvity, Inc.",Health Care,XLV,14357821440.0,2026-09-17,146.72999572753906,0.006862005279061556,0.21324617798505252,0.22838007096071622,0.2387857390740442,0.3123962695203528,True,0.22694086254338108,0.3324163911326523,0.2783709791509812,0.2909004019443002,1.0,1.3797820662990452,1.3113093790443873,1.5310758937797067,1.3797820662990452,256822796.98184052,0.35191558591160904,129.29750022888183,118.25350964864096,106.36316636403402,True,True,True,True,True,False,accumulation,4,2,normal,False,False,surge,False,1.0,,0.032365091277974545,75.04353805683081,True,True,True,True,False,True,True,A,Uptrend Under Pressure,145.73,0.0069,0.2408025249239817,0.9608948349066354,0.13765757652531585,0.14983130921476184,0.7486050377651693,0.9594809322033899,2026-10-26,False,진입 검토,surge D+1,0,0,0.384,0.832
OKTA,"Okta, Inc.",Information Technology,XLK,30251012096.0,2026-09-17,190.02000427246094,0.010099985140281653,0.11051372564231876,0.3456553731174101,0.3570544860944098,0.2654780955434235,True,0.3440787612970082,0.2847824976960902,0.3140282628205633,0.24882866463257147,0.9977422279723213,0.8489144088381402,0.9424149654757307,1.6219644284333958,0.8489144088381402,732207342.7145844,0.7346948878625862,164.05324935913086,149.4659173329671,119.96741695404053,True,True,True,True,True,False,weak_rally,1,1,normal,False,False,surge,False,3.0,,0.04844640180969918,68.16039355607373,True,True,True,True,False,True,True,A,Uptrend Under Pressure,186.45,0.0191,0.2530991933980591,0.9499229291233883,0.3613601993437867,0.5731525996866318,0.9060433305626829,0.956832627118644,2026-12-02,False,진입 검토,surge D+3 · 클러스터 대표(4종목 중),0,0,0.384,0.832
